,Average and Extremes,Average temperature,Average humidity,Average dewpoint,Average barometer,Average windspeed,Average gustspeed,Average direction,Rainfall for month,Rainfall for year,Maximum rain per minute,Maximum temperature,Minimum temperature,Maximum humidity,Minimum humidity,Maximum pressure,Minimum pressure,Maximum windspeed,Maximum gust speed,Maximum heat index
22,Mar 23 ,34.0,62.0,21.9,29.9,5.4,7.8, 232° ( SW), 0.83 in., 1.32 in., 0.00 in. on day 23 at time 23:59, 44.7°F on day 23 at time 12:53, 24.4°F on day 23 at time 06:31, 81% on day 23 at time 22:38, 36% on day 23 at time 12:20, 30.030 in. on day 23 at time 00:00, 29.730 in. on day 23 at time 16:36, 19.6 mph on day 23 at time 13:20, 26.5 mph  from 217 °( SW) on day 23 at time 14:31, 44.7°F on day 23 at time 12:53
23,Mar 24 ,39.9,48.0,21.1,29.7,10.4,14.7, 233° ( SW), 0.83 in., 1.32 in., 0.00 in. on day 24 at time 23:59, 47.4°F on day 24 at time 16:56, 32.0°F on day 24 at time 01:04, 71% on day 24 at time 01:13, 30% on day 24 at time 18:26, 29.812 in. on day 24 at time 00:14, 29.658 in. on day 24 at time 23:59, 24.2 mph on day 24 at time 10:59, 35.7 mph  from 226 °( SW) on day 24 at time 13:45, 47.4°F on day 24 at time 16:56
24,Mar 25 ,41.7,42.0,19.5,29.5,6.9,10.2, 234° ( SW), 0.83 in., 1.32 in., 0.00 in. on day 25 at time 23:59, 48.3°F on day 25 at time 16:15, 32.1°F on day 25 at time 22:44, 59% on day 25 at time 23:59, 25% on day 25 at time 17:12, 29.658 in. on day 25 at time 00:00, 29.494 in. on day 25 at time 17:00, 23.0 mph on day 25 at time 16:42, 32.2 mph  from 296 °(WNW) on day 25 at time 16:27, 48.3°F on day 25 at time 16:15
25,Mar 26 ,39.9,48.0,16.8,29.5,8.8,12.7, 234° ( SW), 0.83 in., 1.32 in., 0.00 in. on day 26 at time 23:59, 52.8°F on day 26 at time 16:50, 27.0°F on day 26 at time 04:20, 83% on day 26 at time 04:54, 14% on day 26 at time 13:47, 29.541 in. on day 26 at time 00:03, 29.393 in. on day 26 at time 17:47, 26.5 mph on day 26 at time 12:03, 38.0 mph  from 180 °( S ) on day 26 at time 14:17, 52.8°F on day 26 at time 16:50
26,Mar 27 ,29.8,84.0,25.5,29.5,2.4,4.0, 45° ( NE), 0.91 in., 1.40 in., 0.01 in. on day 27 at time 15:50, 34.7°F on day 27 at time 01:58, 23.9°F on day 27 at time 23:59, 93% on day 27 at time 21:05, 61% on day 27 at time 02:48, 29.648 in. on day 27 at time 22:21, 29.430 in. on day 27 at time 13:57, 9.2 mph on day 27 at time 16:57, 12.7 mph  from 219 °( SW) on day 27 at time 16:57, 34.7°F on day 27 at time 01:36
27,Mar 28 ,27.6,49.0,10.4,29.9,10.8,16.1, 239° (WSW), 0.92 in., 1.41 in., 0.01 in. on day 28 at time 14:40, 37.3°F on day 28 at time 16:59, 20.8°F on day 28 at time 07:09, 91% on day 28 at time 00:06, 30% on day 28 at time 16:59, 30.010 in. on day 28 at time 22:55, 29.645 in. on day 28 at time 00:00, 23.0 mph on day 28 at time 13:31, 33.4 mph  from 224 °( SW) on day 28 at time 12:54, 37.3°F on day 28 at time 16:59
28,Mar 29 ,33.7,43.0,12.8,30.0,7.6,11.0, 229° ( SW), 0.93 in., 1.42 in., 0.01 in. on day 29 at time 11:28, 43.8°F on day 29 at time 16:58, 26.1°F on day 29 at time 06:34, 69% on day 29 at time 23:59, 27% on day 29 at time 17:08, 30.042 in. on day 29 at time 07:57, 29.906 in. on day 29 at time 16:46, 19.6 mph on day 28 at time 00:00, 28.8 mph  from 235 °( SW) on day 29 at time 00:06, 43.8°F on day 29 at time 16:58
29,Mar 30 ,35.6,50.0,16.9,29.9,4.1,6.7, 254° (WSW), 0.93 in., 1.42 in., 0.00 in. on day 30 at time 23:59, 49.5°F on day 30 at time 14:31, 21.2°F on day 30 at time 06:51, 82% on day 30 at time 07:49, 23% on day 30 at time 15:01, 29.982 in. on day 30 at time 21:23, 29.869 in. on day 30 at time 15:34, 15.0 mph on day 30 at time 18:06, 23.0 mph  from 236 °( SW) on day 30 at time 18:05, 49.5°F on day 30 at time 14:31
30,Mar 31 ,43.7,40.0,20.5,29.8,9.8,14.1, 224° ( SW), 0.93 in., 1.42 in., 0.00 in. on day 31 at time 23:59, 53.2°F on day 31 at time 16:21, 31.9°F on day 31 at time 00:18, 55% on day 31 at time 00:20, 28% on day 31 at time 18:09, 29.950 in. on day 31 at time 00:00, 29.600 in. on day 31 at time 23:50, 24.2 mph on day 31 at time 14:43, 38.0 mph  from 206 °(SSW) on day 31 at time 01:34, 53.2°F on day 31 at time 16:21
31, for Month of March 2020 up to day 31,35.5,56.0,18.8,29.821,7.2,10.6, 236° (WSW), 0.929 in., 1.421 in., 0.012 in on day 14 at time 09:00, 56.7°F on day 17 at time 16:59, 9.8°F on day 02 at time 05:46, 96% on day 19 at time 09:09, 8% on day 04 at time 15:05, 30.33 in. on day 20 at time 11:40, 29.39 in. on day 26 at time 17:47, 34.5 mph from 297°(WNW) on day 12 at time 05:24, 49.5 mph from 248°(WSW) on day 12 at time 04:21, 56.7°F on day 17 at time 16:59
